Province/State,Alberta,British Columbia,Diamond Princess,Grand Princess,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Repatriated Travellers,Saskatchewan,Yukon,Total_confirmed
1/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1/24/2020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1/25/2020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1/26/2020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1/27/2020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1/28/2020,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
1/29/2020,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
1/30/2020,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
1/31/2020,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
2/1/2020,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
2/2/2020,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
2/3/2020,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
2/4/2020,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5
2/5/2020,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
2/6/2020,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
2/7/2020,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
2/8/2020,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
2/9/2020,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
2/10/2020,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9
2/11/2020,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9
2/12/2020,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9
2/13/2020,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9
2/14/2020,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9
2/15/2020,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9
2/16/2020,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9
2/17/2020,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10
2/18/2020,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10
2/19/2020,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10
2/20/2020,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11
2/21/2020,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13
2/22/2020,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14
2/23/2020,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,15
2/24/2020,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16
2/25/2020,0,7,0,0,0,0,0,0,0,0,11,0,1,0,0,0,19
2/26/2020,0,7,0,0,0,0,0,0,0,0,12,0,1,0,0,0,20
2/27/2020,0,7,0,0,0,0,0,0,0,0,14,0,1,0,0,0,22
2/28/2020,0,7,0,0,0,0,0,0,0,0,19,0,2,0,0,0,28
2/29/2020,0,8,0,0,0,0,0,0,0,0,23,0,2,0,0,0,33
3/1/2020,0,8,0,0,0,0,0,0,0,0,27,0,3,0,0,0,38
3/2/2020,0,8,0,0,0,0,0,0,0,0,31,0,6,0,0,0,45
3/3/2020,0,9,0,0,0,0,0,0,0,0,34,0,8,0,0,0,51
3/4/2020,0,12,0,0,0,0,0,0,0,0,37,0,10,0,0,0,59
3/5/2020,0,13,0,0,0,0,0,0,0,0,47,0,11,0,0,0,71
3/6/2020,1,21,0,0,0,0,0,0,0,0,55,0,13,0,0,0,90
3/7/2020,2,21,0,0,0,0,0,0,0,0,62,0,13,0,0,0,98
3/8/2020,4,27,0,0,0,0,0,0,0,0,75,0,14,0,0,0,120
3/9/2020,7,32,0,0,0,0,0,0,0,0,90,0,15,0,0,0,144
3/10/2020,7,32,0,0,0,0,0,0,0,0,109,0,17,0,0,0,165
3/11/2020,19,39,0,0,0,1,0,0,0,0,142,0,27,0,0,0,228
3/12/2020,19,46,0,0,0,1,0,0,0,0,190,0,33,0,0,0,289
3/13/2020,29,64,0,2,4,1,0,0,0,0,247,0,37,0,2,0,386
3/14/2020,29,64,0,2,4,1,0,0,0,0,296,0,55,0,2,0,453
3/15/2020,39,73,0,2,4,2,1,0,0,0,357,1,68,0,2,0,549
3/16/2020,56,103,0,2,7,6,1,0,5,0,427,1,85,0,7,0,700
3/17/2020,74,103,0,8,8,8,3,0,7,0,507,1,128,0,7,0,854
3/18/2020,97,186,0,9,15,11,3,0,12,0,586,1,169,0,8,0,1097
3/19/2020,119,231,0,9,17,11,3,0,14,0,685,2,242,0,16,0,1349
3/20/2020,146,271,0,10,17,11,4,0,15,0,825,2,371,0,20,0,1692
3/21/2020,195,424,0,10,18,17,6,0,21,0,919,2,557,0,26,0,2195
3/22/2020,259,424,0,13,20,17,9,1,28,0,1031,3,795,0,52,0,2652
3/23/2020,301,472,0,13,20,17,24,1,41,0,1200,3,1140,0,66,0,3298
3/24/2020,359,617,0,13,21,18,35,1,51,0,1399,3,1408,0,72,0,3997
3/25/2020,358,617,0,13,35,18,35,1,68,0,1560,5,1774,0,86,0,4570
3/26/2020,486,725,0,13,36,33,82,1,73,0,1819,5,2140,0,95,3,5511
3/27/2020,542,725,0,13,39,45,102,1,90,0,2116,9,2591,0,104,3,6380
3/28/2020,542,884,0,13,64,51,120,1,110,0,2369,11,3007,0,134,4,7310
3/29/2020,621,884,0,13,72,66,135,1,122,0,2608,11,3575,0,134,4,8246
3/30/2020,661,970,0,13,96,68,148,1,127,0,3044,18,4153,0,175,4,9478
3/31/2020,690,1013,0,13,103,70,152,1,147,0,3431,21,4881,0,184,5,10711
4/1/2020,754,1013,0,13,127,81,175,2,173,0,3888,21,5578,0,193,5,12023
4/2/2020,969,1121,0,13,167,91,183,2,193,0,4316,22,6453,0,206,6,13742
4/3/2020,969,1174,0,13,182,91,183,4,207,0,4780,22,7223,0,220,6,15074
4/4/2020,1075,1203,0,13,182,91,195,4,236,0,5123,22,8029,0,231,6,16410
4/5/2020,1181,1203,0,13,203,98,217,4,262,0,5478,22,8663,0,249,6,17599
4/6/2020,1250,1266,0,13,203,103,226,5,293,0,5922,22,9538,0,253,6,19100
4/7/2020,1373,1266,0,13,217,105,228,5,310,0,6356,22,10326,0,260,7,20488
4/8/2020,1373,1291,0,13,217,105,232,5,342,0,6831,25,11012,0,271,7,21724
4/9/2020,1423,1336,0,13,221,108,236,5,373,0,7319,25,11760,0,278,7,23104
4/10/2020,1451,1370,0,13,230,112,239,5,407,0,7708,25,12395,0,285,8,24248
4/11/2020,1567,1445,0,13,243,112,241,5,428,0,8188,25,13060,0,289,8,25624
4/12/2020,1567,1445,0,13,242,114,242,5,445,0,8712,25,13850,0,298,8,26966
4/13/2020,1732,1490,0,13,246,116,244,5,474,0,9296,25,14814,0,300,8,28763
4/14/2020,1870,1490,0,13,246,116,244,5,517,0,9841,25,15776,0,301,8,30452
4/15/2020,1870,1517,0,13,246,117,247,5,549,0,10423,26,16874,0,304,8,32199
4/16/2020,1996,1561,0,13,250,117,252,5,579,0,11015,26,17838,0,305,8,33965
4/17/2020,2397,1575,0,13,250,117,256,5,606,0,11671,26,18860,0,307,8,36091
4/18/2020,2562,1618,0,13,253,117,256,5,649,0,12273,26,19523,0,313,9,37617
4/19/2020,2803,1647,0,13,254,118,256,5,675,0,12853,26,20343,0,315,9,39317
4/20/2020,2908,1647,0,13,254,118,256,5,721,0,13502,26,21252,0,316,11,41029
4/21/2020,3095,1724,0,13,255,118,256,5,737,0,14001,26,22058,0,320,11,42619
4/22/2020,3401,1795,0,13,257,118,256,5,772,0,14542,26,22943,0,326,11,44465
4/23/2020,3720,1824,0,13,262,118,256,5,827,0,15032,26,23849,0,331,11,46274
4/24/2020,4017,1853,0,13,263,118,256,5,850,0,15457,26,24704,0,341,11,47914
