Country/Region,Canada
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,1
2/13/2020,1
2/14/2020,1
2/15/2020,1
2/16/2020,1
2/17/2020,1
2/18/2020,1
2/19/2020,1
2/20/2020,1
2/21/2020,3
2/22/2020,3
2/23/2020,3
2/24/2020,3
2/25/2020,3
2/26/2020,3
2/27/2020,6
2/28/2020,6
2/29/2020,6
3/1/2020,6
3/2/2020,6
3/3/2020,6
3/4/2020,6
3/5/2020,6
3/6/2020,6
3/7/2020,8
3/8/2020,8
3/9/2020,8
3/10/2020,8
3/11/2020,8
3/12/2020,8
3/13/2020,8
3/14/2020,8
3/15/2020,8
3/16/2020,9
3/17/2020,9
3/18/2020,9
3/19/2020,9
3/20/2020,9
3/21/2020,10
3/22/2020,10
3/23/2020,10
3/24/2020,110
3/25/2020,183
3/26/2020,184
3/27/2020,256
3/28/2020,466
3/29/2020,466
3/30/2020,466
3/31/2020,1592
4/1/2020,1324
4/2/2020,1735
4/3/2020,2175
4/4/2020,2577
4/5/2020,3012
4/6/2020,3256
4/7/2020,3791
4/8/2020,4154
4/9/2020,5162
4/10/2020,5855
4/11/2020,6589
4/12/2020,7123
4/13/2020,7758
4/14/2020,8210
4/15/2020,8966
4/16/2020,9698
4/17/2020,10545
4/18/2020,10964
4/19/2020,11847
4/20/2020,12543
4/21/2020,13188
4/22/2020,14454
4/23/2020,14761
4/24/2020,15149
4/25/2020,16013
4/26/2020,16883
4/27/2020,18268
4/28/2020,19231
4/29/2020,20327
4/30/2020,21424
5/1/2020,22764
5/2/2020,23814
5/3/2020,24921
5/4/2020,26030
5/5/2020,27006
5/6/2020,28184
5/7/2020,29260
5/8/2020,30239
5/9/2020,31262
5/10/2020,32109
5/11/2020,33007
5/12/2020,34055
5/13/2020,35177
5/14/2020,36104
5/15/2020,36908
5/16/2020,37832
5/17/2020,38563
5/18/2020,39251
5/19/2020,40069
5/20/2020,40793
5/21/2020,41731
5/22/2020,42608
5/23/2020,43318
5/24/2020,43998
5/25/2020,44651
5/26/2020,45352
5/27/2020,46248
5/28/2020,46961
5/29/2020,47905
5/30/2020,48517
5/31/2020,49213
6/1/2020,50091
6/2/2020,50725
6/3/2020,51506
6/4/2020,52184
6/5/2020,53074
6/6/2020,54087
6/7/2020,54675
6/8/2020,55343
6/9/2020,56117
6/10/2020,57215
6/11/2020,58131
6/12/2020,59034
6/13/2020,59851
6/14/2020,60668
6/15/2020,61466
6/16/2020,61899
6/17/2020,63280
6/18/2020,63782
6/19/2020,64318
6/20/2020,64826
6/21/2020,65249
6/22/2020,65721
6/23/2020,66135
6/24/2020,66533
6/25/2020,66869
6/26/2020,67182
6/27/2020,67445
6/28/2020,67689
6/29/2020,68698
6/30/2020,69120
7/1/2020,69397
7/2/2020,69872
7/3/2020,70232
7/4/2020,70507
7/5/2020,70772
7/6/2020,71141
7/7/2020,71418
7/8/2020,71805
7/9/2020,72095
7/10/2020,72466
7/11/2020,72784
7/12/2020,72954
7/13/2020,73381
7/14/2020,73713
7/15/2020,74067
7/16/2020,74433
7/17/2020,98281
7/18/2020,98436
7/19/2020,98564
7/20/2020,98975
7/21/2020,99248
7/22/2020,99501
7/23/2020,99937
7/24/2020,100504
7/25/2020,100765
7/26/2020,100969
7/27/2020,101447
7/28/2020,101686
7/29/2020,101992
7/30/2020,102344
